p,RSN
0.995,3.3174483005106192
0.99,2.705947215527182
0.985,2.3546461234425617
0.98,2.10894229396071
0.975,1.9207294103470727
0.97,1.768692298231309
0.965,1.641510143379767
0.96,1.5324508600381797
0.955,1.4371866979980017
0.95,1.3527717270477069
0.945,1.2771106562481778
0.94,1.2086604652278108
0.935,1.1462522630461387
0.93,1.0889795794270667
0.925,1.0361254279111172
0.92,0.9871130447954726
0.915,0.9414716467153056
0.91,0.8988120301828268
0.905,0.8588088046257005
0.9,0.821187207574908
0.895,0.7857131542638072
0.89,0.7521856146202704
0.885,0.720430694026574
0.88,0.6902969807648809
0.875,0.6616518484657331
0.87,0.6343784877886518
0.865,0.6083735014447953
0.86,0.5835449390694308
0.855,0.5598106789059246
0.85,0.5370970854287926
0.845,0.515337888364658
0.84,0.4944732407390115
0.835,0.4744489227397596
0.83,0.4552156651557704
0.825,0.43672857149461536
0.82,0.4189466220207416
0.815,0.4018322461824562
0.81,0.38535095243233686
0.81,0.36947100645310565
0.8,0.354163150400397
0.795,0.33940035705622384
0.79,0.3251576138212268
0.785,0.3114117323127082
0.78,0.298141180019526
0.775,0.28532593102559434
0.77,0.27294733327545895
0.765,0.2609879902374361
0.76,0.2494316551372379
0.755,0.2382631361999043
0.75,0.22746821155978642
0.745,0.21703355268497168
0.74,0.20694665532008827
0.735,0.19719577708488054
0.73,0.1877698809793725
0.725,0.17865858414315977
0.72,0.16985211129909158
0.715,0.16134125238258176
0.71,0.15311732391885544
0.705,0.1451721337631195
0.7,0.1374979488642281
0.695,0.1300874657519465
0.69,0.12293378348229508
0.685,0.11603037880541467
0.68,0.1093710833465766
0.675,0.1029500626138829
0.67,0.09676179666632298
0.665,0.09080106229354504
0.66,0.0850629165742985
0.655,0.07954268169427638
0.65,0.07423593091627274
0.645,0.06913847560638033
0.64,0.06424635322955102
0.635,0.059555816236388004
0.63,0.055063321770656884
0.625,0.05076552213381077
0.62,0.046659255948914444
0.615,0.04274153997181724
0.61,0.03900956150232904
0.605,0.03546067135257055
0.6,0.03209237733365077
0.595,0.028902338225421004
0.59,0.02588835819731063
0.585,0.023048381651203854
0.58,0.02038048846000048
0.575,0.017882889577948834
0.57,0.01555392300107321
0.565,0.013392050058061647
0.56,0.011395852013856183
0.555,0.009564026969915708
0.55,0.00789538704671561
0.545,0.006388855835526497
0.54,0.005043466107888011
0.535,0.0038583577724759853
0.53,0.0028327760702637037
0.525,0.001966070000009765
0.52,0.0012576909671770033
0.515,0.0007071916504058877
0.51,0.00031422508064183583
0.505,7.854392895485115e-5
0.5,0.0
